104.152.49.155:443#DE [209.28ms 1.45Mbps]
103.121.48.87:8443#DE [210.3ms 6.22Mbps]
104.194.144.48:443#GB [211.01ms 1.83Mbps]
103.102.228.113:443#NL [211.73ms 2.63Mbps]
104.194.156.84:443#DE [211.8ms 4.95Mbps]
104.194.140.26:443#GB [212.61ms 5.4Mbps]
103.65.231.245:443#NL [213.05ms 1.05Mbps]
103.80.86.19:8443#NL [213.09ms 0.5Mbps]
103.80.86.19:443#NL [213.15ms 3.2Mbps]
104.128.190.209:443#GB [213.45ms 5.05Mbps]
103.75.197.18:8443#DE [213.46ms 0.73Mbps]
103.71.23.39:443#FI [213.71ms 2.59Mbps]
103.71.23.75:443#FI [213.73ms 3.06Mbps]
103.71.22.234:8443#FI [213.74ms 0.83Mbps]
103.71.23.247:443#FI [213.85ms 0.86Mbps]
104.105.9.100:443#DE [213.95ms 0.77Mbps]
103.71.22.129:443#FI [214.09ms 1.18Mbps]
104.152.49.87:443#DE [214.12ms 1.78Mbps]
103.31.77.108:2053#PL [214.76ms 2.7Mbps]
103.63.30.19:443#CH [214.83ms 3.32Mbps]
103.85.115.51:443#FI [214.96ms 1.85Mbps]
103.249.134.29:443#BG [215.13ms 1.13Mbps]
103.85.114.144:443#FI [215.15ms 0.93Mbps]
104.238.177.144:443#DE [215.25ms 1.07Mbps]
103.85.113.213:443#FI [215.43ms 0.7Mbps]
104.238.191.179:443#FR [216.14ms 0.65Mbps]
103.71.22.26:443#FI [216.38ms 5.96Mbps]
103.85.113.59:2053#FI [216.4ms 0.76Mbps]
103.75.197.94:443#DE [216.77ms 0.9Mbps]
103.63.30.163:443#CH [217.4ms 0.78Mbps]
103.177.249.40:2083#SE [217.44ms 2.53Mbps]
103.71.22.133:8443#FI [217.45ms 3.17Mbps]
104.222.177.183:443#PL [217.48ms 0.0Mbps]
103.167.234.26:443#PL [217.53ms 0.98Mbps]
104.194.159.48:443#DE [217.97ms 6.42Mbps]
104.194.143.86:8443#GB [218.03ms 4.72Mbps]
104.152.49.13:443#DE [219.13ms 3.36Mbps]
104.194.144.212:443#GB [220.0ms 2.09Mbps]
104.194.144.105:443#GB [220.13ms 3.4Mbps]
104.194.143.130:443#GB [220.36ms 2.11Mbps]
104.128.142.134:443#FI [220.67ms 0.84Mbps]
104.128.142.215:8443#FI [220.84ms 3.03Mbps]
103.85.114.160:443#FI [221.12ms 3.13Mbps]
103.85.112.57:443#FI [221.35ms 1.56Mbps]
103.85.115.39:443#FI [221.7ms 1.41Mbps]
103.85.115.166:443#FI [221.71ms 0.65Mbps]
103.85.114.179:443#FI [221.71ms 0.62Mbps]
103.85.115.229:443#FI [222.01ms 0.9Mbps]
103.85.113.232:2053#FI [222.07ms 2.26Mbps]
103.102.229.28:443#RO [223.29ms 0.79Mbps]
103.102.229.45:443#RO [223.43ms 0.84Mbps]
103.118.41.121:443#HK [229.42ms 0.23Mbps]
104.152.48.248:443#BG [232.68ms 1.05Mbps]
103.68.110.188:443#PL [234.28ms 0.22Mbps]
104.194.140.95:443#GB [239.92ms 1.76Mbps]
104.128.136.206:8443#RU [243.09ms 1.66Mbps]
103.214.69.7:443#CA [249.09ms 1.1Mbps]
103.126.50.196:8443#RO [250.77ms 0.53Mbps]
103.119.18.30:443#CZ [251.21ms 0.98Mbps]
104.128.141.202:443#RU [258.7ms 4.91Mbps]
104.143.0.180:443#AT [284.86ms 3.12Mbps]
102.130.48.155:2053#NG [292.31ms 0.97Mbps]
104.238.24.75:443#KZ [301.01ms 1.09Mbps]
104.238.24.152:443#KZ [309.4ms 1.78Mbps]
104.238.24.139:8443#KZ [326.92ms 0.31Mbps]
103.253.145.105:443#SG [1090.41ms 3.66Mbps]
103.111.114.87:443#IN [1104.36ms 3.3Mbps]
